time,Open,High,Low,Close,Volume
2022-12-31 22:00:00+00:00,11046.7,12254.8,10676.4,12066.2,1959187
2023-01-31 22:00:00+00:00,12061.4,12894.3,11895.2,12012.0,2083886
2023-02-28 22:00:00+00:00,12006.4,13199.4,11676.4,13196.0,2881413
2023-03-31 21:00:00+00:00,13160.1,13266.6,12727.2,13257.2,1163411
2023-04-30 21:00:00+00:00,13250.4,14533.4,12931.6,14261.6,1353372
2023-05-31 21:00:00+00:00,14264.4,15297.2,14220.0,15171.4,1691139
2023-06-30 21:00:00+00:00,15189.2,15937.8,14935.8,15784.2,1325488
2023-07-31 21:00:00+00:00,15786.7,15803.8,14552.8,15506.4,2038320
2023-08-31 21:00:00+00:00,15499.6,15629.0,14445.0,14752.2,1516973
2023-09-30 21:00:00+00:00,14831.8,15348.6,14060.4,14380.2,2098658
2023-10-31 21:00:00+00:00,14397.0,16166.0,14339.4,15927.2,1190639
2023-11-30 22:00:00+00:00,15920.4,16999.2,15692.2,16844.2,1077655
2023-12-31 22:00:00+00:00,16859.8,17685.6,16189.6,17156.6,6556911
2024-01-31 22:00:00+00:00,17170.9,18095.4,17153.5,18036.6,7207382
2024-02-29 22:00:00+00:00,18044.8,18497.0,17787.4,18271.1,6377657
2024-03-31 21:00:00+00:00,18349.4,18418.2,16985.3,17410.8,7848245
2024-04-30 21:00:00+00:00,17382.1,18950.0,17288.8,18526.0,6386267
2024-05-31 21:00:00+00:00,18547.9,20128.9,18389.5,19754.9,6362263
2024-06-30 21:00:00+00:00,19756.6,20792.0,18613.4,19461.2,9134440
2024-07-31 21:00:00+00:00,19471.5,19948.2,17248.4,19545.6,9581149
2024-08-31 21:00:00+00:00,19562.8,20351.4,18309.8,20070.2,8187696
2024-09-30 21:00:00+00:00,20069.8,20683.1,19645.2,19941.0,8170361
2024-10-31 21:00:00+00:00,19985.5,21250.3,19916.0,20946.0,7662650
2024-11-30 22:00:00+00:00,20955.0,22135.4,20775.0,21068.2,7461562
