time,Open,High,Low,Close,Volume
2022-12-31 22:00:00+00:00,83.061,84.934,81.04,83.774,3179711
2023-01-31 22:00:00+00:00,83.79,84.498,82.319,84.256,2373444
2023-02-28 22:00:00+00:00,84.216,85.246,80.435,83.086,3075054
2023-03-31 21:00:00+00:00,83.442,84.328,81.557,84.262,1585227
2023-04-30 21:00:00+00:00,84.125,87.312,83.434,83.902,1566800
2023-05-31 21:00:00+00:00,83.902,88.98,83.537,88.605,1369985
2023-06-30 21:00:00+00:00,88.55,89.701,84.943,88.31,2599702
2023-07-31 21:00:00+00:00,88.398,88.596,85.792,86.832,2381807
2023-08-31 21:00:00+00:00,86.83,90.202,86.297,89.585,1945434
2023-09-30 21:00:00+00:00,89.713,89.932,86.786,88.32,2303027
2023-10-31 21:00:00+00:00,88.313,91.39,87.562,91.204,1720076
2023-11-30 22:00:00+00:00,91.184,91.52,87.706,89.119,1856706
2023-12-31 22:00:00+00:00,89.132,90.988,88.636,89.87,2079308
2024-01-31 22:00:00+00:00,89.88,93.454,89.262,91.29,1545722
2024-02-29 22:00:00+00:00,91.275,92.204,90.17,90.495,1357500
2024-03-31 21:00:00+00:00,90.496,95.412,89.96,92.842,1597119
2024-04-30 21:00:00+00:00,92.856,96.743,90.802,96.62,1618263
2024-05-31 21:00:00+00:00,96.63,98.149,95.27,98.001,1332868
2024-06-30 21:00:00+00:00,97.986,99.022,88.697,89.219,2000467
2024-07-31 21:00:00+00:00,89.219,91.421,83.058,91.36,2502040
2024-08-31 21:00:00+00:00,91.263,92.294,86.273,91.186,1955222
2024-09-30 21:00:00+00:00,91.146,92.048,89.869,90.855,2459127
2024-10-31 21:00:00+00:00,90.897,92.468,88.468,88.7,3138499
2024-11-30 22:00:00+00:00,88.437,89.44,86.726,87.932,2011854
